Company,Name,Ratio,Units,Opening Date,Closing Date,Book Closure Date,Issue Manager,Status
PICL,Prudential Insurance Co. Ltd.,5:01,540000,2015-07-20,2015-08-23,2015-07-03,Global IME Capital Ltd.,Closed
PLIC,Prime Life Insurance Company Limited,01:01.6,9763200,2018-03-10,2018-04-14,2018-03-01,Siddhartha Capital Limited,Closed
PPL,People's Power Limited,01:00.5,3163000,2025-07-06,2025-08-12,2025-06-16,Prabhu Capital Limited,Closed
PRIN,Prabhu Insurance Ltd.,2:01,1925079,2017-04-11,2017-05-15,2017-03-19,Prabhu Capital Limited,Closed
PRIN,Prabhu Insurance Ltd.,01:00.5,3166678,2018-06-21,2018-07-26,2018-05-28,Prabhu Capital Ltd.,Closed
PROFL,ProgressiveFinance Limited,4:03,900000,2015-08-01,2015-09-05,2015-07-08,Growmore Merchant Banker Ltd.,Closed
PROFL,ProgressiveFinance Limited,01:02.8,5901000,2018-08-20,2018-10-09,2018-08-08,Sunrise Capital Ltd,Closed
PRVU,Prabhu  Bank Limited,10:04,23525608,2018-01-20,2018-03-06,2018-01-05,Sunrise Capital Limited,Closed
PRVU,Prabhu  Bank Limited,10:02,6417770,2016-02-27,2016-04-02,2015-10-01,Nabil Investment Banking Ltd.,Closed
PURBL,Pathibhara Bikas Bank Limited,4:01,880963,2017-07-02,2017-08-05,2017-05-30,Siddhartha Capital Limited,Closed
PURBL,Pathibhara Bikas Bank Limited,2:01,1008544,2016-08-16,2016-09-19,2016-08-04,Siddhartha Capital Limited,Closed
PURBL,Pathibhara Bikas Bank Limited,4:01,275000,2015-04-18,2015-05-23,2015-04-01,Ace Capital Ltd.,Closed
RADHI,Radhi Bidyut Company Ltd,01:01.5,9535761,2022-09-21,2022-10-11,2022-08-28,Muktinath Capital Limited,Closed
RBSL,Resunga Bikas Bank Limited,1:01,306000,2011-06-26,2011-07-30,2011-06-03,Civil Capital Market Ltd,Closed
RFPL,River Falls Power Limited,1:01,7000000,2025-08-29,2025-09-28,2025-08-11,Prabhu Capital Limited,Open
RHGCL,Rapti Hydro And General Construction Limited,1:01,6127938,2025-06-15,2025-07-08,2025-05-20,Muktinath Capital Limited,Closed
RHPC,Ridi Hydropower Development Company Ltd.,10:03.5,1155000,2016-06-14,2016-07-18,2016-05-27,Global IME Capital Ltd.,Closed
RIDI,Ridi Power Company Limited,01:00.5,7744506,2024-03-01,2024-03-21,2024-02-05,Muktinath Capital Limited,Closed
RLFL,Reliance Finance Ltd.,10:04.5,2306572,2017-12-07,2018-01-25,2017-11-24,Sunrise Capital Limited,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,1:02,2300000,2017-09-17,2017-11-05,2017-09-01,NIBL Capital Market Ltd,Closed
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,5:03,2159700,2018-06-30,2018-08-05,2018-06-05,NIBL ACE Capital Ltd.,Closed
SADBL,Shangrila Development Bank Ltd.,4:01,1840000,2016-02-20,2016-03-26,2016-02-04,NMB Capital Ltd.,Closed
SADBL,Shangrila Development Bank Ltd.,10:08,10867799,2017-12-31,2018-02-11,2017-12-13,Prabhu Capital Limited,Closed
SAFL,Sagarmatha  Finance Limited,10:08,2954389,2016-12-25,2017-01-29,2016-12-09,NIBL Capital Market Limited,Closed
SANIMA,Sanima Bank Limited,10:03,15917617,2017-04-29,2017-06-03,2017-03-31,CBIL Capital Ltd.,Closed
SANIMA,Sanima Bank Limited,2:01,15301440,2016-06-25,2016-07-30,2016-06-07,Nabil Investment Banking Ltd,Closed
SBBLJ,Sahayogi Bikas Bank Limited,10:03.5,1101135,2017-05-14,2017-06-17,2017-04-28,NCM Merchant Banking Ltd.,Closed
SBI,Nepal SBI Bank Limited,10:04,19919424,2017-05-20,2017-06-24,2017-05-09,NMB Capital Ltd.,Closed
SBL,Siddhartha Bank Limited,10:03,15752578,2017-06-07,2017-07-11,2017-05-30,Laxmi Capital Market Ltd,Closed
SBL,Siddhartha Bank Limited,4:01,7555193,2016-10-26,2016-11-29,2016-10-03,Laxmi Capital Market Ltd.,Closed
SBL,Siddhartha Bank Limited,10:01,6826117,2018-02-13,2018-03-19,2018-02-05,Laxmi Capital Market Limited,Closed
SDBL,Siddhartha Development Bank Ltd.,10:06,8515006,2017-04-19,2017-05-23,2017-04-09,Nabil Investment Banking Limited,Closed
SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,1:01,1150000,2018-10-09,2018-11-12,2018-09-10,NIC Asia Capital Limited,Closed
SETI,Seti Finance Limited,01:01.5,951786,2016-11-15,2016-12-19,2016-10-26,NIBL Capital Markets Limited,Closed
SFCL,Samriddhi Finance Company Limited,2:01,2729705,2022-02-20,2022-03-13,2021-12-26,BOK Capital Market Limited,Closed
SFCL,Samriddhi Finance Company Limited,1:02,3639606,2020-10-02,2020-10-22,2020-08-25,BOK Capital Limited,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),10:06,2764692,2019-10-04,2019-11-22,2019-09-23,Sunrise Capital Limited,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),1:02,560000,2013-04-28,2013-06-01,2013-01-19,NCM Merchant Banking Ltd.,Closed
SFFIL,Shrijana Finance  (Bittaya Sanstha),2:01,672000,2016-02-07,2016-03-12,2016-01-19,NCM Merchant Banking Ltd.,Closed
SHBL,Sahara Bikas Bank Ltd.,01:01.5,354000,2016-09-29,2016-11-02,2016-09-07,Global IME Capital Limited,Closed
SHBL,Sahara Bikas Bank Ltd.,01:02.5,1824870,2018-05-19,2018-07-08,2018-04-23,NIBL Capital Market Limited,Closed
SHEL,Singati Hydro Energy Limited,1:01,14500000,2024-02-14,2024-03-05,2024-01-07,Kumari Capital Limited,Closed
SHINE,Shine Resunga Development Bank Ltd.,2:01,1919182,2014-05-22,2014-06-25,2014-05-11,Growmore Merchant Banking Ltd.,Closed
SHPC,Sanima Mai Hydropower Ltd.,1:01,10550000,2017-08-10,2017-09-13,2017-07-25,Sunrise Capital Ltd,Closed
SICL,Shikhar Insurance Co. Ltd.,2:01,875000,2014-04-12,2014-05-17,2014-04-02,NIBL Capital Mrkets Ltd.,Closed
SICL,Shikhar Insurance Co. Ltd.,10:03,5275572,2022-03-15,2022-04-04,2022-02-04,NIBL Ace Capital Limited,Closed
SICL,Shikhar Insurance Co. Ltd.,10:03,3171932,2020-06-28,2020-07-19,2020-02-25,Nibl Ace Capital Limited,Closed
SIFC,Shree Investment Finance Co. Ltd.,10:08.3,2867226,2018-01-28,2018-03-03,2018-01-14,Siddhartha Capital Limited,Closed
SIL,Siddhartha Insurance Ltd.,10:03.5,2244974,2018-06-30,2018-08-05,2018-05-15,NMB Capital Limited,Closed
SIL,Siddhartha Insurance Ltd.,10:09,1188000,2013-11-30,2014-01-04,2013-11-14,NMB Capital Ltd.,Closed
SIL,Siddhartha Insurance Ltd.,5.2:1,862125,2017-05-10,2017-06-13,2017-04-28,Laxmi Capital Market Ltd.,Closed
SINDU,Sindhu Bikash Bank Ltd,10:08,2097540,2017-09-02,2017-10-21,2017-08-25,NIBL Capital Market Ltd,Closed
SINDU,Sindhu Bikash Bank Ltd,1:01,1209375,2016-08-06,2016-09-10,2016-07-22,NIBL Capital Markets Ltd.,Closed
SKBBL,Sana Kisan Bikas Bank Ltd,2:01,1153412,2015-12-10,2016-01-13,2015-11-24,Nabil investment Banking Ltd.,Closed
SKDBL,Saptakoshi Development Bank Ltd.,1:01,1000000,2017-01-07,2017-02-11,2016-12-23,NMB Capital Limited,Closed
SKDBL,Saptakoshi Development Bank Ltd.,01:01.3,2743000,2017-07-13,2017-08-24,2017-06-28,NMB Capital Ltd.,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,100:50:00,349994,2017-06-14,2017-07-18,2017-05-31,NMB Capital Limited,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,1:01,1224978,2018-07-28,2018-09-02,2018-07-12,NMB Capital Limited,Closed
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,1:01,200000,2015-06-25,2015-07-29,2015-06-14,NMB Capital Ltd.,Closed
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,01:00.7,280000,2018-03-08,2018-04-11,2018-02-09,Global IME Capital Limited,Closed
SLICL,Surya Life Insurance Company Limited,10:02.2,887000,2013-09-02,2013-10-06,2013-08-20,Elite Capital Ltd.,Closed
SLICL,Surya Life Insurance Company Limited,10:04,2887500,2018-05-13,2018-06-17,2018-04-18,NIC Asia Capital Limited,Closed
SLICL,Surya Life Insurance Company Limited,10:07,8874096,2019-08-25,2019-09-29,2019-08-14,NIC Asia Capital Ltd.,Closed
SLICL,Surya Life Insurance Company Limited,4:01,125000,2016-08-03,2016-09-06,2016-07-12,Laxmi Capital market Limited,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,1:02,1213440,2019-10-14,2019-11-17,2019-09-18,NIBL ACE Capital Limited,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,2:01,189600,2018-07-11,2018-08-14,2018-06-26,NIBL ACE Capital Ltd,Closed
SMBF,Shiva Shree Hydropower Ltd,4:01,412500,2014-04-28,2014-06-01,2014-04-10,Citizen Investment Trust,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,1:01,725000,2017-09-13,2017-10-17,2017-08-25,Sanima Capital Limited,Closed
SNLI,Sun Nepal Life Insurance Company Limited,01:00.3,10696320,2025-05-13,2025-06-17,2025-04-18,Nepal SBI Merchant Banking Limited,Closed
SPDL,Synergy Power Development Ltd.,2:01,4032875,2023-08-20,2023-09-17,2023-07-28,Sanima Capital Limited,Closed
SRBL,Sunrise Bank Limited,100:15:00,3690473,2016-01-24,2016-01-29,2016-01-10,Civil Capital Market Ltd.,Closed
SRBL,Sunrise Bank Limited,10:01,2236650,2015-03-05,2015-04-08,2015-02-18,Civil Capital Market Ltd.,Closed
SRBL,Sunrise Bank Limited,10:03,16359636,2017-05-29,2017-07-02,2017-05-13,Prabhu Capital Ltd.,Closed
SSHL,Subhechha Bikas Bank Limited,1:01,14764000,2025-09-04,2025-09-24,2025-08-01,Citizens Capital Limited,Open
SYFL,Synergy Finance Ltd.,01:00.3,1186022,2018-07-08,2018-08-28,2018-06-13,Prabhu Capital Limited,Closed
TBBL,Triveni Bikas Bank Limited,2:01,678500,2012-02-23,2012-03-28,2011-12-12,Ace Capital Ltd.,Closed
TBBL,Triveni Bikas Bank Limited,2:01,4100076,2016-11-07,2016-12-11,2016-10-17,Ace Capital Limited,Closed
TBBL,Triveni Bikas Bank Limited,10:03,745181,2013-10-01,2013-11-05,2013-09-20,Ace Capital Ltd.,Closed
