Sno,Merger 1,Merger 2,Merger 3,Merger 4,Merger 5,Final Merged,Sector,Action,Swap Ratio,Trading,Final Approval Date,Joint Transaction Date
116,Machhapuchhre Bank Limited,Standard Finance Ltd.,,,,Machhapuchhre Bank Limited,Commercial Bank,Merger,100:85,Yes,6/25/2012,7/9/2012
117,Global IME Bank Limited,IME Financial Institution,Lord Buddha Finance Limited,,,Global IME Bank Limited,Commercial Bank,Merger,100 : 79 : 70,Yes,6/25/2012,7/9/2012
118,Pashupati Development Limited,Udhyam Bikas Bank Limited,,,,Axis Development Bank Limited,Development Bank,Acquisition,1:01,No,7/8/2012,7/13/2012
119,Vibor Bikash Bank Limited,Bhajuratna Finance & Saving Co. Ltd.,,,,Bhaktapur Finance Co. Ltd.,Development Bank,Acquisition,01:01.2,No,8/13/2012,9/2/2012
120,Butwal Finance Limited,Alpic Everest Finance Co. Ltd.,CMB Finance Limited,,,Synergy Finance Ltd.,Finance,Merger,1.20 :1.10 :0.88,Yes,11/7/2012,12/6/2012
121,Shine Development Bank Limited,Resunga Bikas Bank Limited,,,,Shine Resunga Development Bank Ltd.,Development Bank,Acquisition,1:01,Yes,4/26/2013,6/30/2013
122,NIC Bank Limited,Bank of Asia Nepal Limited,,,,NIC Asia Bank Ltd.,Commercial Bank,Acquisition,100:50:00,Yes,4/26/2013,6/30/2013
123,Diyalo Bikash Bank Limited,Professional Bikas Bank Ltd.,,,,Professional Diyalo Bikas Bank Ltd.,Development Bank,Acquisition,1:01,Yes,6/17/2013,6/30/2013
124,Global IME Bank Limited,Social Development Limited,Gulmi Bikas Bank Ltd.,,,Global IME Bank Limited,Commercial Bank,Merger,100:40:50,Yes,7/9/2013,7/14/2013
125,Global IME Bank Limited,Commerz and Trust Bank Nepal Ltd.,,,,Global IME Bank Limited,Commercial Bank,Acquisition,100:65,Yes,4/3/2014,4/9/2014
126,Reliable Finance Ltd.,Subha Laxmi Finance Co. Ltd.,Nepal Consumer Development Bank Ltd.,,,Reliable Development Bank Limited,Corporate Debentures,Merger,1.127 :0.89 :0.94,Yes,4/4/2014,4/16/2014
127,Siddharth Finance Ltd.,Imperial Financial Inst. Ltd.,,,,Siddharth Finance Ltd.,Finance,Acquisition,1:01,Yes,4/4/2014,5/8/2014
128,Civil Bank Ltd,Axis Development Bank Limited,Civil Merchant Bittiya Santha Ltd.,,,Civil Bank Ltd,Commercial Bank,Acquisition,1 :0.79 :0.79,Yes,4/6/2014,4/14/2014
129,Shangrila Development Bank Ltd.,Bagheshwori Development Bank Limited,,,,Shangrila Development Bank Ltd.,Development Bank,Merger,1:01,Yes,6/13/2013,7/13/2014
130,Lumbini Bank Limited,Nava Durga Finance Co. Ltd.,,,,Lumbini Bank Limited,Commercial Bank,Merger,1:01,No,6/18/2014,6/29/2014
131,Kist Bank Ltd.,Prabhu Bikas Bank Limited,Gaurishankar Development Bank Ltd.,Zenith Finance Limited,,Prabhu Bank Limited,Commercial Bank,Acquisition,97.31 : 107.31 : 107.31 : 92.31,Yes,8/6/2014,9/15/2014
132,Triveni Bikas Bank Limited,Public Development Bank Limited,Bright Development Bank Ltd,,,Triveni Bikas Bank Limited,Corporate Debentures,Merger,1.04 :0.95 :0.95,Yes,4/23/2015,6/1/2015
133,Garima Bikas Bank Limited,Nilgiri Bikas Bank Limited,,,,Garima Bikas Bank Limited,Development Bank,Merger,1:01,Yes,7/9/2015,7/13/2016
134,Muktinath Bikas Bank Ltd.,Civic Development Bank Ltd,,,,Muktinath Bikas Bank Ltd.,Development Bank,Acquisition,100:86,Yes,7/9/2015,7/15/2015
135,NMB Bank Limited,Pathibhara Bikas Bank Limited,Bhrikuti Vikash Bank Limited,Clean Energy Development Bank Limited,Prudential Finance Company Limited,NMB Bank Limited,Commercial Bank,Merger,1 :0.67 :0.87 :0.75 :0.43,Yes,9/23/2015,10/18/2015
136,Prabhu Bank Limited,Grand Bank Nepal Limited ,,,,Prabhu Bank Limited,Commercial Bank,Merger,121.45 :65.58,Yes,1/29/2016,2/12/2016
137,Mega Bank Nepal Ltd.,Paschimanchal Bikash Bank Limited,,,,Mega  Bank Nepal Ltd.,Commercial Bank,Merger,104.25 : 67,Yes,4/12/2016,4/25/2016
138,Kailash Bikas Bank Ltd.,Metro Development Bank Limited,Nepal Express Finance Ltd.,,,Kailash Bikas Bank Ltd.,Corporate Debentures,Merger,1 :0.87 :0.85,Yes,5/18/2015,5/30/2016
139,Siddhartha Development Bank Ltd.,Ekata Bikas Bank Ltd.,Nepal Aawas Finance Limited,,,Siddhartha Development Bank Ltd.,Corporate Debentures,Acquisition,1:01:01,Yes,5/26/2016,6/10/2016
140,Shine Resunga Development Bank Ltd.,Gaumukhee Bikas Bank Ltd.,,,,Shine Resunga Development Bank Ltd.,Development Bank,Merger,100:90,Yes,5/26/2016,6/10/2016
141,Kamana Sewa Bikas Bank Limited,Kaski Finance Limited,,,,Kamana Sewa Bikas Bank Limited,Development Bank,Acquisition,1:01,Yes,6/2/2016,6/20/2016
142,Sunrise Bank Limited,Narayani National Finance Limited,,,,Sunrise Bank Limited,Commercial Bank,Acquisition,100:77,Yes,7/3/2016,7/14/2016
143,Jyoti Bikas Bank Limited,Jhimruk Bikas Bank Ltd.,,,,Jyoti Bikas Bank Limited,Development Bank,Merger,1:01,Yes,8/1/2016,8/12/2016
144,Nepal Investment Bank Limited,City Express Finance Co. Limited,,,,Nepal Investment Bank Limited,Commercial Bank,Acquisition,1:01,No,8/1/2016,8/12/2016
