Company,Normalized name,Bonus %,Cash %,Total %,Book Close,Fiscal Year,Status
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20%,5%,25%,2021-12-10,2077/2078,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20%,6.32%,26.32%,2020-12-20,2076/2077,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5%,5.53%,10.53%,2020-01-04,2075/2076,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,6.66%,7.36%,14.02%,2018-11-28,2074/2075,Closed
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20%,11.58%,31.58%,2017-11-17,2073/2074,Closed
SMB,Support Microfinance Bittiya Sanstha Ltd.,13.78%,0.73%,14.50%,2024-11-29,2080/2081,Closed
SMB,Support Microfinance Bittiya Sanstha Ltd.,13%,0.68%,13.68%,2024-01-01,2079/2080,Closed
SMB,Support Microfinance Bittiya Sanstha Ltd.,11%,0.58%,11.58%,2023-03-05,2078/2079,Closed
SMB,Support Microfinance Bittiya Sanstha Ltd.,30%,1.58%,31.58%,2021-12-16,2077/2078,Closed
SMB,Support Microfinance Bittiya Sanstha Ltd.,10%,0.53%,10.53%,2019-12-30,2075/2076,Closed
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,5%,0.26%,5.26%,2025-04-24,2080/2081,Closed
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,20%,1.05%,21.05%,2023-03-17,2078/2079,Closed
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,32.30%,1.70%,34%,2021-12-09,2077/2078,Closed
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,20%,1.05%,21.05%,2021-02-12,2076/2077,Closed
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,24%,1.27%,25.27%,2020-01-10,2075/2076,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,13.56%,0.71%,14.28%,2023-06-05,2078/2079,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,25.29%,0%,25.29%,2021-12-30,2077/2078,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,21.09%,1.11%,22.20%,2020-01-01,2075/2076,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,23.53%,1.24%,24.77%,2019-01-01,2074/2075,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,34.48%,10.52%,45%,2017-12-29,2073/2074,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,45%,2.36%,47.36%,2016-12-23,2072/2073,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,41.72%,2.19%,43.91%,2015-12-31,2071/2072,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,26%,12.95%,38.95%,2014-12-17,2070/2071,Closed
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,12%,14.32%,26.32%,2013-12-05,2069/2070,Closed
SMH,Super Mai Hydropower Limited,7%,5.63%,12.63%,2024-12-02,2080/2081,Closed
SMHL,Super Madi Hydropower Limited,5%,0.26%,5.26%,2024-10-04,2080/2081,Closed
SMHL,Super Madi Hydropower Limited,0%,2%,2%,2024-01-02,2079/2080,Closed
SMJC,Sagarmatha Jalabidhyut Company Limited,4.75%,0.25%,5%,2024-11-11,2080/2081,Closed
SNLI,Sun Nepal Life Insurance Company Limited,23.80%,1.25%,25.05%,2024-05-09,2079/2080,Closed
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,19.50%,1.03%,20.53%,2020-12-30,2076/2077,Closed
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,13%,0.68%,13.68%,2019-12-26,2075/2076,Closed
SPDL,Synergy Power Development Ltd.,10%,0.53%,10.53%,2021-08-20,2077/2078,Closed
SPDL,Synergy Power Development Ltd.,4.75%,0.25%,5%,2020-12-27,2076/2077,Closed
SPIL,Siddhartha Premier Insurance Limited,0%,30%,30%,2025-02-14,2080/2081,Closed
SPIL,Siddhartha Premier Insurance Limited,0%,11%,11%,2024-02-23,2079/2080,Closed
SRBL,Sunrise Bank Limited,6.65%,0.35%,7%,2021-12-19,2077/2078,Closed
SRBL,Sunrise Bank Limited,5.80%,2.48%,8.28%,2020-12-22,2076/2077,Closed
SRBL,Sunrise Bank Limited,10%,5.80%,15.80%,2019-10-18,2075/2076,Closed
SRBL,Sunrise Bank Limited,0%,11.50%,11.50%,2018-12-27,2074/2075,Closed
SRBL,Sunrise Bank Limited,15%,0%,15%,2017-10-30,2073/2074,Closed
SRBL,Sunrise Bank Limited,33.33%,0%,33.33%,2016-10-03,2072/2073,Closed
SRBL,Sunrise Bank Limited,21.50%,1.13%,22.63%,2015-10-28,2071/2072,Closed
SRBL,Sunrise Bank Limited,11%,0%,11%,2014-04-10,2069/2070,Closed
SRLI,Sanima Reliance Life Insurance Limited,1.25%,8%,9.25%,2025-03-10,2080/2081,Closed
STC,Salt Trading Corporation,0%,10%,10%,2025-03-14,2080/2081,Closed
STC,Salt Trading Corporation,15%,0.79%,15.79%,2024-03-22,2079/2080,Closed
STC,Salt Trading Corporation,10%,5%,15%,2023-03-10,2078/2079,Closed
STC,Salt Trading Corporation,10%,0.53%,10.53%,2022-03-29,2077/2078,Closed
STC,Salt Trading Corporation,20%,5%,25%,2021-10-19,2076/2077,Closed
STC,Salt Trading Corporation,25%,10%,35%,2020-11-30,2075/2076,Closed
STC,Salt Trading Corporation,25%,10%,35%,2019-03-08,2074/2075,Closed
STC,Salt Trading Corporation,25%,10%,35%,2018-02-20,2073/2074,Closed
STC,Salt Trading Corporation,20%,5%,25%,2017-06-28,2072/2073,Closed
STC,Salt Trading Corporation,15%,10%,25%,2016-05-25,2071/2072,Closed
STC,Salt Trading Corporation,10%,10%,20%,2015-03-09,2070/2071,Closed
STC,Salt Trading Corporation,10%,15%,25%,2014-03-23,2069/2070,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,14.25%,0.75%,15%,2024-10-25,2080/2081,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,12.36%,0.65%,13.01%,2023-12-08,2079/2080,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,15%,6.05%,21.05%,2023-02-22,2078/2079,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,19%,6%,25%,2021-12-21,2077/2078,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,19.01%,1%,20.01%,2021-03-12,2076/2077,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,26%,14%,40%,2019-12-17,2075/2076,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,25%,11.84%,36.84%,2018-12-25,2074/2075,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,20%,11.57%,31.57%,2017-11-14,2073/2074,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,34%,19.68%,53.68%,2016-12-19,2072/2073,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,42%,10.63%,52.63%,2015-12-20,2071/2072,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,46.50%,23.50%,70%,2014-12-24,2070/2071,Closed
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,14%,13.37%,27.37%,2013-12-31,2069/2070,Closed
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,6%,1%,7%,2025-01-05,2080/2081,Closed
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,14.08%,0%,14.08%,2024-08-08,2079/2080,Closed
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,15%,0%,15%,2023-04-27,2078/2079,Closed
TMDBL,Tinau Mission Development Bank Limited,6%,0%,6%,2021-01-15,2076/2077,Closed
TMDBL,Tinau Mission Development Bank Limited,12%,0%,12%,2020-06-25,2075/2076,Closed
TRH,Taragaon Regency Hotel Limited,0%,11%,11%,2024-12-22,2080/2081,Closed
TRH,Taragaon Regency Hotel Limited,4%,11%,15%,2023-12-28,2079/2080,Closed
TRH,Taragaon Regency Hotel Limited,0%,8.42%,8.42%,2023-02-01,2078/2079,Closed
TRH,Taragaon Regency Hotel Limited,0%,10%,10%,2021-02-12,2076/2077,Closed
TRH,Taragaon Regency Hotel Limited,0%,12%,12%,2019-12-24,2075/2076,Closed
TRH,Taragaon Regency Hotel Limited,0.63%,12%,12.63%,2019-05-17,2074/2075,Closed
TRH,Taragaon Regency Hotel Limited,0%,7.36%,7.36%,2018-03-02,2073/2074,Closed
UAIL,United Ajod Insurance Limited,10%,0.53%,10.53%,2025-07-03,2080/2081,Closed
UAIL,United Ajod Insurance Limited,10.26%,0.54%,10.80%,2024-02-05,2079/2080,Closed
UFL,United Finance Ltd.,3%,7.53%,10.53%,2019-12-30,2075/2076,Closed
UFL,United Finance Ltd.,0%,5%,5%,2018-10-30,2074/2075,Closed
UFL,United Finance Ltd.,19%,0%,19%,2017-12-29,2073/2074,Closed
UFL,United Finance Ltd.,20%,1.05%,21.05%,2016-09-23,2072/2073,Closed
UFL,United Finance Ltd.,15%,0.79%,15.79%,2015-11-23,2071/2072,Closed
UFL,United Finance Ltd.,15%,0.79%,15.79%,2014-11-20,2070/2071,Closed
UFL,United Finance Ltd.,0%,12.50%,12.50%,2013-01-11,2069/2070,Closed
UIC,United Insurance Co. (Nepal) Ltd.,5%,0.26%,5.26%,2023-01-01,2078/2079,Closed
UIC,United Insurance Co. (Nepal) Ltd.,10%,0%,10%,2017-12-27,2072/2073,Closed
UIC,United Insurance Co. (Nepal) Ltd.,20%,0%,20%,2016-06-17,2071/2072,Closed
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,61.75%,3.25%,65%,2023-02-16,2078/2079,Closed
ULI,Union Life Insurance Company Limited,8.97%,0%,8.97%,2023-01-30,2078/2079,Closed
UMB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share,38.60%,2.03%,40.63%,2019-12-31,2075/2076,Closed
UMB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited Promoter Share,40.50%,2.13%,42.63%,2019-01-30,2074/2075,Closed
UMHL,United Modi Hydropower Ltd.,7%,0.37%,7.37%,2023-03-23,2078/2079,Closed
UMHL,United Modi Hydropower Ltd.,0%,5.26%,5.26%,2020-12-20,2076/2077,Closed
UMHL,United Modi Hydropower Ltd.,0%,8.42%,8.42%,2019-12-27,2075/2076,Closed
UMHL,United Modi Hydropower Ltd.,0%,5%,5%,2018-12-11,2074/2075,Closed
UMHL,United Modi Hydropower Ltd.,0%,5%,5%,2017-12-08,2073/2074,Closed
UMRH,United IDI Mardi RB Hydropower Limited.,4%,0.21%,4.21%,2025-03-07,2080/2081,Closed
UMRH,United IDI Mardi RB Hydropower Limited.,5.50%,0.29%,5.79%,2024-02-16,2079/2080,Closed
UMRH,United IDI Mardi RB Hydropower Limited.,0%,10.53%,10.53%,2022-12-02,2078/2079,Closed
UNL,Unilever Nepal Limited,0%,1714%,1714%,2024-10-14,2080/2081,Closed
UNL,Unilever Nepal Limited,0%,1580%,1580%,2023-11-28,2079/2080,Closed
UNL,Unilever Nepal Limited,0%,1215%,1215%,2022-11-20,2078/2079,Closed
UNL,Unilever Nepal Limited,0%,650%,650%,2021-10-11,2077/2078,Closed
UNL,Unilever Nepal Limited,0%,100%,100%,2020-11-12,2076/2077,Closed
UNL,Unilever Nepal Limited,0%,770%,770%,2019-10-09,2075/2076,Closed
UNL,Unilever Nepal Limited,0%,700%,700%,2018-10-08,2074/2075,Closed
UNL,Unilever Nepal Limited,0%,1270%,1270%,2017-09-15,2073/2074,Closed
UNL,Unilever Nepal Limited,0%,1020%,1020%,2016-09-04,2072/2073,Closed
UNL,Unilever Nepal Limited,0%,990%,990%,2015-09-13,2071/2072,Closed
UNL,Unilever Nepal Limited,0%,860%,860%,2014-09-02,2070/2071,Closed
UNL,Unilever Nepal Limited,0%,760%,760%,2013-09-16,2069/2070,Closed
UPCL,UNIVERSAL POWER COMPANY LTD,8.55%,0.45%,9%,2024-01-03,2079/2080,Closed
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,30%,0%,30%,2021-12-29,2077/2078,Closed
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,17.81%,0%,17.81%,2021-03-31,2076/2077,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,20%,1.05%,21.05%,2023-03-30,2078/2079,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,20.03%,1.05%,21.09%,2021-12-27,2077/2078,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,19%,1%,20%,2021-01-01,2076/2077,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,15%,5%,20%,2019-12-29,2075/2076,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,10%,0.53%,10.53%,2018-12-14,2074/2075,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,10%,5%,15%,2017-11-17,2073/2074,Closed
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,15%,5%,20%,2016-11-22,2072/2073,Closed
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,9.33%,0.50%,9.83%,2022-06-01,2077/2078,Closed
