sn,Name,Symbol,Category,First Traded Price,First Traded Date,Last Traded Price,Last Traded Date,Note
621,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,Microfinance,378.0,2014-02-05,1019.7,2025-07-07,
622,Naya Sarathi Laghubitta Bittiya Sanstha Limited,NSLB,Microfinance,352.0,2014-03-17,693.5,2023-07-13,
623,Century Commercial Bank Ltd.,CCBL,Commercial Banks,280.0,2014-06-08,199.5,2023-01-09,
624,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Microfinance,376.0,2014-06-26,1475.08,2025-07-07,
625,Ridi Hydropower Development Company Ltd.,RHPC,Hydropower,306.0,2014-07-13,838.0,2021-11-03,
626,Reliance Finance Ltd.,RLFL,Finance Company,150.0,2014-08-28,487.07,2025-07-07,
627,Siddhartha Equity Orineted Scheme,SEOS,Mutual Fund,10.0,2014-10-09,10.85,2019-07-21,
628,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Microfinance,307.0,2014-10-14,1051.33,2025-07-07,
629,Sahara Bikas Bank Ltd.,SHBL,Development Banks,300.0,2014-11-10,460.0,2017-06-08,
630,NIBL Samriddhi Fund 1,NIBSF1,Mutual Fund,10.66,2015-02-18,12.41,2022-01-06,
631,Mirmire Microfinance Development Bank Ltd.,MMFDB,Microfinance,399.0,2015-08-25,985.0,2022-09-11,
632,Barun Hydropower Co. Ltd.,BARUN,Hydropower,284.0,2015-10-14,425.87,2025-07-07,
633,Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS,Microfinance,312.0,2015-11-09,845.34,2025-07-07,
634,Api Power Company Ltd.,API,Hydropower,307.0,2015-11-18,291.76,2025-07-07,
635,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Microfinance,110.0,2015-11-24,809.17,2025-07-07,
636,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance,318.0,2015-11-26,771.0,2023-07-19,
637,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Microfinance,339.0,2015-12-08,1070.0,2024-07-10,
638,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,MSMBS,Microfinance,327.0,2015-12-08,1259.0,2021-01-21,
639,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB,Microfinance,419.0,2015-12-10,1692.5,2022-06-22,
640,Womi Microfinance Bittiya Sanstha Ltd.,WOMI,Microfinance,399.0,2015-12-10,1609.0,2021-08-31,
641,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Microfinance,356.0,2015-12-21,1265.66,2025-07-07,
642,NMB  Microfinance Bittiya Sanstha Ltd.,NMBMF,Microfinance,337.0,2015-12-21,694.18,2025-07-07,
643,Global IME Samunnat Scheme-1,GIMES1,Mutual Fund,10.0,2016-06-02,9.63,2023-03-23,
644,Hydorelectricity Investment and Development Company Ltd,HIDCL,Investment,359.0,2016-07-12,292.09,2025-07-07,
645,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Microfinance,392.0,2016-09-05,811.86,2025-07-07,
646,Ngadi Group Power Ltd.,NGPL,Hydropower,277.0,2016-09-07,376.06,2025-07-07,
647,Shree Ram Sugar Mills Limited,SRS,Manufacturing And Processing,100.0,2016-09-18,338.0,2020-07-27,
648,Green Development Bank Ltd.,GRDBL,Development Banks,252.0,2016-11-24,1331.41,2025-07-07,
649,Khanikhola Hydropower Co. Ltd.,KKHC,Hydropower,321.0,2017-01-11,434.08,2025-07-07,
650,NMB Hybrid Fund L-1,NMBHF1,Mutual Fund,10.81,2017-01-24,9.86,2023-10-12,
