sn,Name,Symbol,Category
87,Narayani National Finance Company Limited Promoter Share,xNNFCLPS,Promoter Share
88,Paschimanchal Bikash Bank Ltd. Promoter Share,xPBBLPS,Promoter Share
89,Peoples Finance Limited Promoter Share,xPFLPS,Promoter Share
90,Malika Development Bank Limited Promoter Share,xMDBLPS,Promoter Share
91,Lumbini Bank Limited Promotor Share,xLBLPS,Promoter Share
92,ICFC Finance Limited Promotor Share,xIFLPS,Promoter Share
93,Bhajuratna Finance & Saving Co. Ltd.,xBFSCL,Finance Company
94,Standard Finance Limited Promoter Share,xSFLPS,Promoter Share
95,Nilgiri Bikas Bank Limited,xNBBL,Development Banks
96,Suryadarshan Finance Company Limited,xSFCL,Finance Company
97,Alpine Development Bank Limited,xADBL,Development Banks
98,Zenith Finance Limited,xZFL,Finance Company
99,Grand Bank Limited Promoter Share,xGBLPS,Promoter Share
100,ACE Development Bank Limited Promoter Share,xADBLPS,Promoter Share
101,Udhyam Bikas Bank Limited,xUBBL,Development Banks
102,Swastik Merchant Finance Co. Ltd.,xSMFCL,Finance Company
103,Subha Laxmi Finance Co. Ltd.,xSLFCL,Finance Company
104,Gaurishankar Development Bank Ltd.,xGDBL,Development Banks
105,Unique Finance Ltd.,xUFL,Finance Company
106,IME Financial Institution Promoter Share,xIFIPS,Promoter Share
107,Patan Finance Limited Promoter Share,xPFLPS,Promoter Share
108,Seti Finance Limited,xSFL,Finance Company
109,Yeti Finance Ltd. Promoter Share,xYFLPS,Promoter Share
110,MachhaPuchhre  Bank Limited Promotor Share,xMBLPS,Promoter Share
111,Gaurishankar Development Bank Ltd. Promoter Share,xGDBLPS,Promoter Share
112,Kabeli Bikas Bank Limited,xKBBL,Development Banks
113,Civil Merchant  Bittiya Sanstha Limited Promoter Share,xCMBSLPS,Promoter Share
114,Butwal Finance Limited Promoter Share,xBFLPS,Promoter Share
115,Valley Finance Limited,xVFL,Finance Company
116,Western Development Bank Limited,xWDBL,Development Banks
117,Araniko Development Bank Limited,xADBL,Development Banks
118,Tinau Development Bank Limited,xTDBL,Development Banks
119,Janaki Finance Limited Promoter Share,xJFLPS,Promoter Share
120,Everest Finance Limited Promoter Share,xEFLPS,Promoter Share
121,Professional Bikas Bank Ltd.,xPBBL,Development Banks
122,KIST Bank Limited Promoter Share,xKBLPS,Promoter Share
123,Siddhartha Bank Limited Promoter Share,xSBLPS,Promoter Share
124,Nepal Express Finance Limited Promoter Share,xNEFLPS,Promoter Share
125,Shree Investment & Finance Co. Ltd. Promoter Share,xSIFCLPS,Promoter Share
126,CMB Finance Ltd. Promoter Share,xCFLPS,Promoter Share
127,Supreme Development Bank Ltd. Promoter Share,xSDBLPS,Promoter Share
128,Rara Bikas Bank Limited,xRBBL,Development Banks
129,Country Development Bank Ltd.,xCDBL,Development Banks
130,Triveni Bikas Bank Ltd Promoter Share,xTBBLPS,Promoter Share
131,Om Finance Limited Promoter Share,xOFLPS,Promoter Share
132,Purnima Bikas Bank Ltd.,xPBBL,Development Banks
133,Union Finance Co. Ltd. Promoter Share,xUFCLPS,Promoter Share
134,Biratlaxmi Development Bank Ltd. Promoter Share,xBDBLPS,Promoter Share
135,Laxmi Bank Limited Promoter Share,xLBLPS,Promoter Share
136,Sahayogi Bikas Bank Ltd. Promoter Share,xSBBLPS,Promoter Share
137,Clean Energy Development Bank Ltd. Promoter Share,xCEDBLPS,Promoter Share
138,Hama Merchant & Finance Ltd.,xHMFL,Finance Company
139,Imperial Finance Ltd Promoter Share,xIFLPS,Promoter Share
140,Society  Development Bank Limited Promoter Share,xSDBLPS,Promoter Share
141,Bagheshowari Development Bank  Ltd. Promoer Share,xBDBLPS,Development Banks
142,Nepal Investment Bank Ltd. Promoter Share,xNIBLPS,Promoter Share
143,Prabhu Finance Ltd. Promoter Share,xPFLPS,Promoter Share
144,Bagmati Development Bank Ltd.,xBDBL,Development Banks
145,Citizens Bank Internatioal Limited Promoter Share,xCBILPS,Promoter Share
146,Maha Laxmi Finance Co. Ltd. Promoter Share,xMLFCLPS,Promoter Share
147,NIDC Capital Markets Ltd. Promoter Share,xNCMLPS,Promoter Share
148,International Leasing & Finance Co. Ltd.,xILFCL,Finance Company
149,Shrijana Finance Ltd. Promoter Share,xSFLPS,Promoter Share
150,Gulmi Bikas Bank Ltd.,xGBBL,Development Banks
151,Kanchan Development Bank Limited,xKDBL,Development Banks
152,Tourism Development Bank Limited,xTDBL,Development Banks
153,Kailash Bikas Bank Ltd. Promoter Share,xKBBLPS,Promoter Share
154,Global IME Bank Ltd. Promoter Share,xGIBLPS,Promoter Share
155,Metro Development Bank Limited,xMDBL,Development Banks
156,Pacific Development Bank Limited,xPDBL,Development Banks
157,Nepal Consumer Development Bank Ltd.,xNCDBL,Development Banks
158,Siddhartha Investment Growth Scheme-1,xSIGS,Mutual Fund
159,Innovative Development Bank Ltd.,xIDBL,Development Banks
160,Kakre Bihar Bikash Bank Ltd,xKBBBL,Development Banks
161,Civic Development Bank Ltd,xCDBL,Development Banks
162,Bright Development Bank Ltd,xBDBL,Development Banks
163,Sunrise Bank Ltd Promoter Share,xSBLPS,Promoter Share
164,International Development Bank Ltd,xIDBL,Development Banks
165,Khandbari Development Bank Ltd,xKDBL,Development Banks
166,Rising Development Bank Ltd.,xRDBL,Development Banks
167,Nabil Balance Fund 1,xNBF1,Mutual Fund
168,Commerz and Trust Bank Nepal Ltd.,xCATBNL,Commercial Banks
169,Reliable Development Bank Ltd. Promoter Share,xRDBLPS,Promoter Share
170,Prime Commercial Bank Promoter Share,xPCBPS,Promoter Share
171,Siddhartha Finance Ltd. Promoter,xSFLP,Promoter Share
172,Kasthamandap Dev. Bank Ltd Promoter Share,xKDBLPS,Promoter Share
173,Subbecha Bikas Bank Ltd. Promoter Share,xSBBLPS,Promoter Share
174,Kaski Finanace Ltd. Promoter,xKFLP,Promoter Share
175,NIC Asia Bank Limted Promoter Share,xNABLPS,Promoter Share
176,Seti Finance Ltd. Promoter Share,xSFLPS,Promoter Share
177,Himalayan Bank Ltd. Promoter,xHBLP,Promoter Share
178,Om Development Bank Ltd. Promoter,xODBLP,Promoter Share
179,Mahakali Bikas Bank Ltd. Promoter,xMBBLP,Promoter Share
180,Dev BikasBank Ltd. Promoter Share,xDBLPS,Promoter Share
181,Namaste Bittiya Sanstha Ltd.,xNBSL,Finance Company
182,Jebils Finance Ltd.,xJFL,Finance Company
183,Jhimruk Bikas Bank Ltd.,xJBBL,Development Banks
184,Professional Diyalo Bikas Bank Ltd.,xPDBBL,Development Banks
185,Jyoti Bikash  Bank Ltd. Promoter Share,xJBBLPS,Promoter Share
186,Prabhu Bikas Bank Limited,xPBBL,Development Banks
187,Tinau Development Bank Ltd. Promoter,xTDBLP,Promoter Share
188,National Life Insurance Co. Ltd. Promoter Share,xNLICLPS,Promoter Share
189,Surya Life Insurance Co. Ltd. Promoter Share,xSLICLPS,Promoter Share
190,Manaslu Bikas Bank Ltd.,xMBBL,Development Banks
191,Nepal Life Insurance Co. Ltd. Promoter,xNLICLP,Promoter Share
192,Prabhu Insurance Company Ltd. Promoter,xPICLP,Promoter Share
193,Everest Bank Ltd.Promoter,xEBL,Promoter Share
194,Sewa Bikas Bank Ltd. Promoter,xSBBLP,Promoter Share
195,Mission Development Bank Ltd.,xMDBL,Development Banks
196,Asian Life Insurance Co. Ltd Promoter Share,xALICLPS,Promoter Share
197,Nepal Community Development Bank Ltd.,xNCDBL,Development Banks
198,Cosmos Development Bank Ltd.,xCDBL,Development Banks
199,Matribhumi Development Bank Ltd.,xMDBL,Development Banks
200,NagBeli LaghuBitta Bikas Bank Ltd.,xNLBBL,Development Banks
201,Unique Finance Ltd. Promoter Share,xUFLPS,Promoter Share
202,Prudential Finance Co. Ltd. Promoter,xPFCLP,Promoter Share
203,Shikhar Insurance Co. Ltd. Promoter,xSICLP,Promoter Share
204,United Finance Company Limited Promoter Share,xUFCLPS,Promoter Share
205,Deprosc LaghuBitta Promoter Share,xDLPS,Promoter Share
206,Taragaon Regency Hotels Ltd. Preference Share,xTRHLPS,Preferred Stock
207,Miteri Development Bank Ltd. Promoter Share,xMDBLPS,Promoter Share
208,Hama Merchant & Finance Ltd. Promoter Share,xHMFLPS,Promoter Share
209,Excel Development Bank Ltd. Promoter Share,xEDBLPS,Promoter Share
210,Guheyshwori Merchant & Finance Ltd. Promoter Share,xGMFLPS,Promoter Share
211,Mount Makalu Development Bank Ltd.,xMMDBL,Development Banks
212,Neco Insurace Co. Ltd. Promoter,xNICLP,Promoter Share
213,Ekata Bikas Bank Ltd.,xEBBL,Development Banks
214,Nepal Aawas Finance Limited Promoter Share,xNAFLPS,Promoter Share
215,Mahalxmi Bikas Bank Ltd. Promotor Share,xMBBLPS,Promoter Share
216,Sagarmatha Insurance Co. Ltd. Promoter Share,xSICLPS,Promoter Share
217,Araniko Development Bank Limited Promoter Share,xADBLPS,Promoter Share
218,Guras Life Insurance Company Ltd. Promoter Share,xGLICLPS,Promoter Share
219,Garima Bikas Bank Limited Promoter Share,xGBBLPS,Promoter Share
220,Synergy Finance Ltd. Promoter Share,xSFLPS,Promoter Share
221,Gaumukhee Bikas Bank Ltd.,xGBBL,Development Banks
222,Lumbini Bikas Bank Ltd. Promoter Share,xLBBLPS,Promoter Share
223,Kalinchowk Development Bank Ltd.,xKDBL,Development Banks
224,Bishwa Bikas Bank Limited Promoter Share,xBBBLPS,Promoter Share
225,Siddhartha Insurance Ltd. Promoter Share,xSILPS,Promoter Share
226,NMB Sulav Investment Fund-1,xNSIF,Mutual Fund
227,Bhargav Bikash Bank Ltd. Promoter Share,xBBBLPS,Promoter Share
228,Prabhu  Bank Limited Promoter Share,xPBLPS,Promoter Share
229,Western Development Bank Limited Promoter Share,xWDBLPS,Promoter Share
230,IME General Insurance  Ltd. Promoter Share,xIGILPS,Promoter Share
231,Rastriya Beema Company Limited Promoter Share,xRBCLPS,Promoter Share
232,Lumbini Finance Ltd Promoter Share,xLFLPS,Promoter Share
233,Country Development Bank Ltd. Promoter Share,xCDBLPS,Promoter Share
234,Paschimanchal Finance Co. Ltd. Promoter Share,xPFCLPS,Promoter Share
235,Business Universal Development Bank Ltd. Promoter Share,xBUDBLPS,Promoter Share
236,Muktinath Bikas Bank Ltd. Promoter Share,xMBBLPS,Promoter Share
237,Central Finance Co. Ltd. Promoter Share,xCFCLPS,Promoter Share
238,Laxmi Value Fund-1,xLVF,Mutual Fund
239,Kamana Sewa Bikas Bank Limited Promoter Share,xKSBBLPS,Promoter Share
240,Bhaktapur Finance Co. Ltd.,xBFCL,Finance Company
241,Raptibheri Bikas Bank Ltd.,xRBBL,Development Banks
242,Pacific Development Bank Ltd. Promoter Share,xPDBLPS,Promoter Share
243,Bagmati Development Bank Ltd. Promoter Share,xBDBLPS,Promoter Share
244,Professional Diyalo Bikas Bank Ltd. Promoter Share,xPDBBLPS,Promoter Share
245,Lalitpur Finance Co. Ltd. Promoter Share,xLFCLPS,Promoter Share
246,Hathway Finance Company Limited Promoter Share,xHFCLPS,Promoter Share
247,Swabalamban Laghubitta Bittiya Sanstha Limited Promoter Share,xSLBSLPS,Promoter Share
248,Tourism Development Bank Ltd. Prmoter Share,xTDBLPS,Development Banks
249,Prudential Insurance Co. Ltd. Promoter Share,xPICLPS,Promoter Share
250,Shangrila Development Bank Ltd. Promoter Share,xSDBLPS,Promoter Share
251,Reliance Finance Ltd. Promoter Share,xRFLPS,Promoter Share
252,Sagarmatha  Finance Limited Promoter Share,xSFLPS,Promoter Share
253,First Micro Finance Laghubitta Bittiya Sanstha Limited Promoter Share,xFMFLBSLPS,Promoter Share
254,Saptakoshi Development Bank Ltd.,xSDBL,Development Banks
255,Kanchan Development Bank Limited Promoter Share,xKDBLPS,Promoter Share
256,Sajha Bikas Bank Ltd.,xSBBL,Development Banks
257,Civil Bank Ltd Promoter Share,xCBLPS,Promoter Share
258,Nepal Insurance Co. Ltd Promoter Share,xNICLPS,Promoter Share
259,Karnali Development Bank Limited Promoter Share,xKDBLPS,Promoter Share
260,Kankai Bikas Bank Ltd. Promoter Share,xKBBLPS,Promoter Share
261,Janata Bank Nepal Ltd. Promoter Share,xJBNLPS,Promoter Share
262,Swarojgar Laghu Bitta Bikas Bank Ltd. Promoter Share,xSLBBBLPS,Promoter Share
263,Chhimek Laghubitta Bikas Bank Limited Promoter Share,xCLBBLPS,Promoter Share
264,Summit Laghubitta Bittiya Sanstha Limited Promoter Share,xSLBSLPS,Promoter Share
265,Sindhu Bikas Bank Ltd. Promoter Share,xSBBLPS,Promoter Share
266,Mission Development Bank Ltd. Promoter Share,xMDBLPS,Promoter Share
267,Manjushree Finance Ltd. Promoter Share,xMFLPS,Promoter Share
268,Mega  Bank Nepal Ltd. Promoter Share,xMBNLPS,Promoter Share
269,NLG Insurance Company Ltd. Promoter Share,xNICLPS,Promoter Share
270,Kalika Laghubitta Bittiya Sanstha Ltd Promoter Share,xKLBSLPS,Promoter Share
271,Himalayan General Insurance Co. Ltd Promoter Share,xHGICLPS,Promoter Share
272,City Express Finance Co. Ltd. Promoter Share,xCEFCLPS,Promoter Share
273,NagBeli LaghuBitta Bikas Bank Ltd. Promoter Share,xNLBBLPS,Promoter Share
274,Purnima Bikas Bank Ltd. Promoter Share,xPBBLPS,Promoter Share
275,Samriddhi Finance Company Limited Promoter Share,xSFCLPS,Promoter Share
276,Corporate Development Bank Ltd. Promoter Share,xCDBLPS,Promoter Share
277,Hamro Bikas Bank Ltd. Promoter Share,xHBBLPS,Promoter Share
278,Century Commercial Bank Ltd. Promoter Share,xCCBLPS,Promoter Share
279,Rural Microfinance Development Centre Ltd. Promoter Share,xRMDCLPS,Promoter Share
280,Jebils Finance Ltd. Promoter Share,xJFLPS,Promoter Share
281,United Insurance Co. (Nepal) Ltd. Promoter Share,xUICLPS,Promoter Share
282,Nepal Community Development Bank Ltd. Promoter Share,xNCDBLPS,Promoter Share
283,Gandaki Bikas Bank Limited Promoter Share,xGBBLPS,Promoter Share
284,Sana Kisan Bikas Bank Ltd Promoter Share,xSKBBLPS,Promoter Share
285,Prime Life Insurance Company Limited Promoter Share,xPLICLPS,Promoter Share
286,Grameen Bikas Laghubitta Bittiya Sanstha Ltd. Promoter Share,xGBLBSLPS,Promoter Share
287,Multipurpose Finance Company  Limited Promoter Share,xMFCLPS,Promoter Share
288,Nepal Finance Ltd. Promoter Share,xNFLPS,Promoter Share
289,Nirdhan Utthan Bank Limited Promoter Share,xNUBLPS,Promoter Share
290,Mirmire Microfinance Development Bank Ltd. Promoter Share,xMMDBLPS,Promoter Share
291,Naya Sarathi Laghubitta Bittiya Sanstha Limited Promoter Share,xNSLBSLPS,Promoter Share
292,Shine Resunga Development Bank Ltd. Promoter Share,xSRDBLPS,Promoter Share
293,Lumbini General Insurance Co. Ltd. Promoter Share,xLGICLPS,Promoter Share
294,Tinau Mission Development Bank Limited Promoter Share,xTMDBLPS,Promoter Share
295,NMB  Microfinance Bittiya Sanstha Ltd. Promoter Share,xNMBSLPS,Promoter Share
296,Green Development Bank Ltd. Promoter Share,xGDBLPS,Promoter Share
297,Nerude Laghubita Bikas Bank Limited Promoter Share,xNLBBLPS,Promoter Share
298,Womi Microfinance Bittiya Sanstha Ltd. Promoter Share,xWMBSLPS,Promoter Share
299,Premier Insurance Co. Ltd. Promoter Share,xPICLPS,Promoter Share
300,SURYODAYA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,xSLBSLPS,Promoter Share
301,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED PROMOTER SHARE,xALBSLPS,Promoter Share
302,Saptakoshi Development Bank Ltd Promoter Share,xSDBLPS,Promoter Share
303,Everest Insurance Co. Ltd. Promoter Share,xEICLPS,Promoter Share
304,RSDC Laghubitta Bittiya Sanstha Ltd. Promoter Share,xRLBSLPS,Promoter Share
305,Vijaya laghubitta Bittiya Sanstha Ltd. Promoter Share,xVLBSLPS,Promoter Share
306,National Microfinance Bittiya Sanstha Ltd. Promoter,xNMBSLP,Promoter Share
307,Forward Community Microfinance Bittiya Sanstha Ltd Promoter Share,xFCMBSLPS,Promoter Share
308,Mithila LaghuBitta Bikas Bank Ltd. Promoter Share,xMLBBLPS,Promoter Share
309,Mahuli Laghubitta Bittiya Sanstha Limited Promoter,xMLBSLP,Promoter Share
310,Civil Laghubitta Bittiya Sanstha Promoter,xCLBSP,Promoter Share
311,Janautthan Samudayic Laghubitta Bikas Bank Ltd. Promoter Share,xJSLBBLPS,Promoter Share
312,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,xKLBSLPS,Promoter Share
313,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share,xMMBSLPS,Promoter Share
314,NIC ASIA Laghubitta Bittiya Sanstha Limited Promoter Share,xNALBSLPS,Promoter Share
315,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd Promoter,xJBLBSLP,Promoter Share
316,Chhimek Laghubitta Bittiya Sanstha Limited Promoter,xCLBSLP,Promoter Share
317,Support Microfinance Bittiya Sanstha Ltd. Promoter Share,xSMBSLPS,Promoter Share
318,Nerude Laghubitta Bittiya Sanstha Limited Promoter,xNLBSLP,Promoter Share
319,Premier Insurance Company (Nepal) Limited Promoter Share,xPICLPS,Promoter Share
320,Forward Microfinance Laghubitta Bittiya Sanstha Limited Promoter,xFMLBSLP,Promoter Share
321,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,xSGLBSLP,Promoter Share
322,Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share,xGILBSLPS,Promoter Share
323,Asha Laghubitta Bittiya Sanstha Ltd Promoter Share,xALBSLPS,Promoter Share
324,Garima Debenture 2085,xGD2,Corporate Debenture
325,National Microfinance Laghubitta Bittiya Sanstha Limited Promoter,xNMLBSLP,Promoter Share
326,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter,xSWLBSLP,Promoter Share
327,Hydorelectricity Investment and Development Company Limited Promoter,xHIADCLP,Promoter Share
328,Himalayan Everest Insurance Limited Promoter,xHEILP,Promoter Share
329,Infinity Laghubitta Bittiya Sanstha Limited Promoter Share,xILBSLPS,Promoter Share
330,Mirmire Laghubitta Bittya Sanstha Limited Promoter,xMLBSLP,Promoter Share
331,Sabaiko Laghubitta Bittiya Sanstha Limited,SABSL,Microfinance
332,Global IME Balanced Fund-1,GIBF1,Mutual Fund
333,Everest Bank Limited,EBL,Commercial Banks
334,"Garima Debenture""",GBBD85,Corporate Debenture
335,Sikles Hydropower Limited,SIKLES,Hydropower
336,Khaptad Laghubitta Bittiya Sanstha Limited,KLBS,Microfinance
337,10.25% Nepal SBI Bank Debenture 2083,SBID83,Corporate Debenture
338,8.5% Prabhu Bank Debenture 2087,PBLD87,Corporate Debenture
339,NMB Debenture 8.50% - 2087/88,NMBD87/88,Corporate Debenture
340,Narayani Development Bank Limited Promoter,NABBCP,Promoter Share
341,Global IME Bank Limited,GBIME,Commercial Banks
342,Peoples Hydropower Company Limited,PHCL,Hydropower
343,Eastern Hydropower Limited,EHPL,Hydropower
344,Shrijanshil Laghubitta Bittiya Sanstha Limited,SHLB,Microfinance
345,Adhikhola Laghubitta Bittiya Sanstha Limited,AKBSL,Microfinance
346,Barahi Hydropower Public Limited,BHPL,Hydropower
347,Sanima GIC Insurance Limited,SGIC,Non life insurance
348,SuryaJyoti Life Insurance Company Limited,SJLIC,Life insurance
349,Sabaiko Laghubitta Bittiya Sanstha Limited Promoter,SABSLP,Promoter Share
350,Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share,ACLBSLP,Promoter Share
351,Nepal Investment Mega Bank Limited,NIMB,Commercial Banks
352,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB,Microfinance
353,SuryaJyoti Life Insurance Company Limited Promoter,SJLICP,Promoter Share
354,Super Madi Hydropower Limited,SMHL,Hydropower
355,Shuvam Power Limited,SPL,Hydropower
356,NIFRA Uraj Rinpatra7%-2085/86,NIFRAUR85/86,Corporate Debenture
357,Sanima Growth Fund,SAGF,Mutual Fund
358,Nepal Investment Mega Bank Ltd. Promoter Share,NIMBPO,Promoter Share
359,Maya Khola Hydropower Company Limited,MKHC,Hydropower
360,Asian Hydropower Limited,AHL,Hydropower
361,Kalinchowk Darshan Limited,KDL,Hotels & Tourism
362,Super Mai Hydropower Limited,SMH,Hydropower
363,NMB Sulav Investment Fund - 2,NSIF2,Mutual Fund
364,Siddhartha Premier Insurance Limited,SPIL,Non life insurance
365,Siddhartha Premier Insurance Limited Promoter Share,SPILPO,Promoter Share
366,Sanima Middle Tamor Hydropower Limited,TAMOR,Hydropower
367,Sagarmatha Jalabidhyut Company Limited,SMJC,Hydropower
368,Molung Hydropower Company Limited,MHCL,Hydropower
369,Sunrise Focused Equity Fund,SFEF,Mutual Fund
370,NIBL Growth Fund,NIBLGF,Mutual Fund
371,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,Microfinance
372,BPW Laghubitta Bittiya Sanstha Limited,BPW,Microfinance
373,Makar Jitumaya Suri Hydropower Limited,MAKAR,Hydropower
374,Swabhimaan Laghubitta Bittiya Sanstha LTD Promoter share,SMFBSP,Promoter Share
375,Sagarmatha Lumbini Insurance Co. Limited,SALICO,Non life insurance
376,Mai Khola Hydropower Limited,MKHL,Hydropower
377,Sanima Reliance Life Insurance Limited,SRLI,Life insurance
378,IGI Prudential insurance Limited,IGI,Non life insurance
379,Dolti Power Company Limited,DOLTI,Hydropower
380,Bhugol Energy Development Company Limited,BEDC,Hydropower
381,Prabhu Smart Fund,PRSF,Mutual Fund
382,City Hotel Limited,CITY,Hotels & Tourism
383,Menchhiyam Hydropower Limited,MCHL,Hydropower
384,Ingwa Hydropower Limited,IHL,Hydropower
385,Himalayan Life Insurance Limited,HLI,Life insurance
386,Modi Energy Limited,MEL,Hydropower
387,Rawa Energy Development Limited,RAWA,Hydropower
388,10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture
389,United Ajod Insurance Limited,UAIL,Non life insurance
390,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ,Microfinance
391,Himalayan Laghubitta Bittiya Sanstha Limited,HLBSL,Microfinance
392,RBB Mutual Fund 2,RMF2,Mutual Fund
393,IME Life Insurance Company Limited,ILI,Life insurance
394,Nepal Republic Media Limited,NRM,Others
395,Ghorahi Cement Industry Limited,GCIL,Manufacturing And Processing
396,Upper Syange Hydropower Limited,USHL,Hydropower
397,Three Star Hydropower Limited,TSHL,Hydropower
