Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
95,2025-08-24,693,HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,999,999,978.1,,459,453148.9,988.58,1140,817,2025-08-24T12:15:42.868541,978.1,9,987.25,
96,2025-08-24,694,MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,1115.6,1180,1115.6,,1167,1328720.6,1138.31,1690.8,1125,2025-08-24T12:50:14.926341,1130,31,1138.57,
97,2025-08-24,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1264,1288.6,1264,,270,345322.6,1263.36,1860.4,1216.2,2025-08-24T11:58:03.607149,1264.2,7,1278.97,
98,2025-08-24,697,API,Api Power Company Ltd.,287.1,296,287.1,,27707,8142243.6,292.93,388,246.2,2025-08-24T12:48:44.261816,293,123,293.86,
99,2025-08-24,700,HEIP,Himalayan Everest Insurance Limited Promoter,372.9,372.9,372.9,,40,14916,367,563,342.2,2025-08-24T12:17:16.363818,372.9,1,372.9,
100,2025-08-24,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,702.1,710,702.1,,609,429907.3,712.81,876,646.8,2025-08-24T12:48:05.35971,707,12,705.92,
101,2025-08-24,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1301.86,1324,1301.86,,808,1066457.7,1301.86,1441.6,1118.2,2025-08-24T12:36:02.281979,1321,11,1319.87,
102,2025-08-24,706,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,736,740,736,,346,255410.8,741.15,951,676,2025-08-24T12:47:25.393657,740,9,738.18,
103,2025-08-24,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,852,852,832,,2424,2044477,846.46,1000,648,2025-08-24T12:40:01.885242,834,18,843.43,
104,2025-08-24,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,280.3,289,280.3,,47289,13473896.5,285.97,340,225.4,2025-08-24T12:49:48.550444,285,152,284.92,
105,2025-08-24,2743,NGPL,Ngadi Group Power Ltd.,393.3,409,393.3,,31309,12615085.9,401.24,571,250,2025-08-24T12:47:00.389748,400.1,153,402.92,
