Date,numTrans,tradedShares,amount,Close,Change,Percentage change,outcome
11/30/2014,1768,251179,115611724.1,857,-6,-0.7,0
12/1/2014,1935,387152,139611251,851,-6,-0.7,0
12/2/2014,1624,451655,181057578.9,846,-5,-0.59,0
12/3/2014,1939,508672,175561331.6,850,4,0.47,1
12/4/2014,1701,434032,180389649.1,854,4,0.47,1
12/7/2014,1476,461688,159323136.8,851,-3,-0.35,0
12/8/2014,1419,501994,156721431.5,848,-3,-0.35,0
12/9/2014,1659,400299,167871276,849,1,0.12,1
12/10/2014,1627,362577,131250331.6,856,7,0.82,1
12/11/2014,1854,489023,185511092.7,871,15,1.75,1
12/14/2014,2210,1071345,282359393.6,910,39,4.48,1
12/15/2014,2579,883047,357233141.9,917,7,0.77,1
12/16/2014,1873,530353,201437775.6,910,-7,-0.76,0
12/17/2014,1443,307596,157113756.1,900,-10,-1.1,0
12/18/2014,1316,437309,143894828,904,4,0.44,1
12/21/2014,1559,361299,138474248.8,897,-7,-0.77,0
12/22/2014,1754,273264,147235829,885,-12,-1.34,0
12/23/2014,2001,356056,160286938.3,877,-8,-0.9,0
12/24/2014,2308,430608,177689222.7,888,11,1.25,1
12/28/2014,2173,573869,306625448.1,904,16,1.8,1
12/29/2014,2251,610543,226394131.9,907,3,0.33,1
12/31/2014,2067,1063896,364963904.4,902,-5,-0.55,0
1/1/2015,1999,541502,177095292.7,904,2,0.22,1
1/4/2015,2374,552852,266108840.7,918,14,1.55,1
1/5/2015,2499,949497,324158645.7,920,2,0.22,1
1/6/2015,2256,861540,255169157.9,917,-3,-0.33,0
1/7/2015,2293,629444,260089560.9,925,8,0.87,1
1/8/2015,2415,1519410,333981693.9,931,6,0.65,1
1/11/2015,2198,777108,279769220.4,928,-3,-0.32,0
1/12/2015,1984,660972,220346860.8,928,0,0,1
1/13/2015,1835,533990,235739893,937,9,0.97,1
1/14/2015,2345,590348,249171506.5,940,3,0.32,1
1/18/2015,2556,883361,498548337.3,945,5,0.53,1
1/19/2015,3239,1593578,862191399,975,30,3.17,1
1/20/2015,2193,622506,288611199.3,963,-12,-1.23,0
1/22/2015,1968,667105,238589507.5,959,-4,-0.42,0
1/25/2015,2496,2690604,1083279243,969,10,1.04,1
1/26/2015,2935,2442211,983839408.4,969,0,0,1
1/27/2015,2646,3252490,512906156.2,975,6,0.62,1
1/28/2015,2524,917771,358707917.2,988,13,1.33,1
1/29/2015,3026,1876499,649907215.7,987,-1,-0.1,0
2/1/2015,2583,1041881,356767955.9,991,4,0.41,1
2/2/2015,2929,1339069,455490867.1,991,0,0,1
2/3/2015,2300,769689,329340561.8,988,-3,-0.3,0
2/4/2015,2813,776300,343280812.3,987,-1,-0.1,0
2/5/2015,2389,622234,267398265.4,984,-3,-0.3,0
2/8/2015,2639,572012,273006750.3,986,2,0.2,1
2/9/2015,2807,693704,316768121.6,981,-5,-0.51,0
2/10/2015,2919,543364,255176918,981,0,0,1
2/11/2015,2017,565273,227026819.9,981,0,0,1
2/12/2015,2484,1033874,359445415.9,985,4,0.41,1
2/15/2015,2668,769105,325603369.2,990,5,0.51,1
2/16/2015,2549,827740,336931888.6,987,-3,-0.3,0
2/18/2015,2360,710590,277853500.1,983,-4,-0.41,0
2/22/2015,2160,631737,274577878.6,971,-12,-1.22,0
2/23/2015,2190,673398,252348612.6,974,3,0.31,1
2/24/2015,1699,1239177,501204005,971,-3,-0.31,0
2/25/2015,1893,463187,177036581.7,971,0,0,1
2/26/2015,1481,645501,186899358,979,8,0.82,1
3/1/2015,1607,562014,202750956.5,976,-3,-0.31,0
3/2/2015,1682,778167,236538319.4,985,9,0.92,1
3/3/2015,1895,729478,224584736.4,981,-4,-0.41,0
3/4/2015,1836,607015,258573339.7,983,2,0.2,1
3/9/2015,2399,827028,308155764.7,989,6,0.61,1
3/10/2015,1740,714397,239661891.3,984,-5,-0.51,0
3/11/2015,1723,697188,309600852.6,984,0,0,1
3/12/2015,1711,570330,197401540.9,978,-6,-0.61,0
3/15/2015,1179,294565,109894845,971,-7,-0.72,0
3/16/2015,1479,453475,171329323.3,959,-12,-1.24,0
3/17/2015,1393,334751,168853188,963,4,0.42,1
3/18/2015,1447,545742,193239678.9,964,1,0.1,1
3/19/2015,1605,541725,206186449.8,968,4,0.41,1
3/22/2015,1622,513612,185019321.3,964,-4,-0.41,0
3/23/2015,1422,493740,198735588.6,957,-7,-0.73,0
3/24/2015,1225,620055,213195774.2,954,-3,-0.31,0
3/25/2015,1447,381169,181406894.5,951,-3,-0.31,0
3/26/2015,1329,535618,276034954.1,942,-9,-0.95,0
3/29/2015,1148,310828,124404351.4,942,0,0,1
3/30/2015,953,277150,115613216.1,939,-3,-0.32,0
3/31/2015,1252,541858,166380122.2,946,7,0.75,1
4/1/2015,1027,383639,122643606.1,940,-6,-0.63,0
4/2/2015,1337,394464,141426474.1,940,0,0,1
4/5/2015,1085,588940,103223803.4,934,-6,-0.64,0
4/6/2015,1233,575509,171617067.1,938,4,0.43,1
4/7/2015,915,312062,131594671.7,936,-2,-0.21,0
4/8/2015,1306,504834,216751320.9,942,6,0.64,1
4/9/2015,1394,426255,179243324.2,947,5,0.53,1
4/12/2015,1640,429981,199959391.4,952,5,0.53,1
4/13/2015,1427,744975,207457169.6,948,-4,-0.42,0
4/15/2015,1092,284370,117022018.6,944,-4,-0.42,0
4/16/2015,1462,461635,197542090.9,950,6,0.64,1
4/19/2015,1188,432977,141584688.6,946,-4,-0.42,0
4/20/2015,1271,695003,172734200.6,945,-1,-0.11,0
4/21/2015,1459,419409,217477863.7,945,0,0,1
4/22/2015,1298,447484,173964991.5,942,-3,-0.32,0
4/23/2015,1469,629634,202244869.8,938,-4,-0.42,0
5/24/2015,249,593078,115367753,910,-28,-2.99,0
5/25/2015,802,181195,136360433.7,881,-29,-3.19,0
5/26/2015,1416,444909,162606247,860,-21,-2.38,0
5/27/2015,1271,277515,152178200,838,-22,-2.56,0
5/28/2015,1414,419834,179691182,842,4,0.48,1
5/31/2015,1725,447059,199907750,872,30,3.56,1
6/1/2015,1981,690825,272852216.1,890,18,2.06,1
6/2/2015,1555,548461,245925202.4,902,12,1.35,1
6/3/2015,1896,722859,303448153.2,925,23,2.55,1
6/4/2015,1940,784155,270682661.3,927,2,0.22,1
6/7/2015,1709,505570,219345219.7,931,4,0.43,1
6/8/2015,2246,1159433,360141335.3,945,14,1.5,1
6/9/2015,3266,1191708,529681362.7,967,22,2.33,1
6/10/2015,1923,604402,263437750.5,956,-11,-1.14,0
6/11/2015,1571,518196,245064983.3,938,-18,-1.88,0
6/14/2015,1555,644895,175587922,928,-10,-1.07,0
6/15/2015,1400,621249,220664045.4,934,6,0.65,1
6/16/2015,1439,725093,247374519.2,931,-3,-0.32,0
6/17/2015,1447,429488,178562003.2,928,-3,-0.32,0
6/18/2015,1181,473513,162518968.5,925,-3,-0.32,0
6/21/2015,1306,390977,157772294,918,-7,-0.76,0
6/22/2015,1454,516055,188101577.3,922,4,0.44,1
6/23/2015,1367,547058,203892360.1,926,4,0.43,1
6/24/2015,1490,811161,265526908.9,928,2,0.22,1
