,Unnamed: 0,company.name,company.code,company.cat
152,41358,Kailash Bikas Bank Ltd. Promoter Share,xKBBLPS,Promoter Share
153,41731,Global IME Bank Ltd. Promoter Share,xGIBLPS,Promoter Share
154,43810,Metro Development Bank Limited,xMDBL,Development Bank
155,43826,Pacific Development Bank Limited,xPDBL,Development Bank
156,44683,Nepal Consumer Development Bank Ltd.,xNCDBL,Development Bank
157,48081,Siddhartha Investment Growth Scheme-1,xSIGS,Undetermined
158,48362,Innovative Development Bank Ltd.,xIDBL,Development Bank
159,50034,Kakre Bihar Bikash Bank Ltd,xKBBBL,Development Bank
160,50347,Civic Development Bank Ltd,xCDBL,Development Bank
161,50621,Bright Development Bank Ltd,xBDBL,Development Bank
162,51108,Sunrise Bank Ltd Promoter Share,xSBLPS,Promoter Share
163,51144,International Development Bank Ltd,xIDBL,Development Bank
164,51840,Khandbari Development Bank Ltd,xKDBL,Development Bank
165,52538,Rising Development Bank Ltd.,xRDBL,Development Bank
166,53063,Nabil Balance Fund 1,xNBF1,Mutual Fund
167,53676,Commerz and Trust Bank Nepal Ltd.,xCATBNL,Commercial Bank
168,54819,Reliable Development Bank Ltd. Promoter Share,xRDBLPS,Promoter Share
169,55321,Prime Commercial Bank Promoter Share,xPCBPS,Promoter Share
170,55812,Siddhartha Finance Ltd. Promoter,xSFLP,Promoter Share
171,56115,Kasthamandap Dev. Bank Ltd Promoter Share,xKDBLPS,Promoter Share
172,56774,Subbecha Bikas Bank Ltd. Promoter Share,xSBBLPS,Promoter Share
173,57158,Kaski Finanace Ltd. Promoter,xKFLP,Promoter Share
174,58730,NIC Asia Bank Limted Promoter Share,xNABLPS,Promoter Share
175,59367,Seti Finance Ltd. Promoter Share,xSFLPS,Promoter Share
176,62151,Himalayan Bank Ltd. Promoter,xHBLP,Promoter Share
177,62589,Om Development Bank Ltd. Promoter,xODBLP,Promoter Share
178,62661,Mahakali Bikas Bank Ltd. Promoter,xMBBLP,Promoter Share
179,62721,Dev BikasBank Ltd. Promoter Share,xDBLPS,Promoter Share
180,62753,Namaste Bittiya Sanstha Ltd.,xNBSL,Undetermined
181,62827,Jebils Finance Ltd.,xJFL,Finance Company
182,63073,Jhimruk Bikas Bank Ltd.,xJBBL,Development Bank
183,63458,Professional Diyalo Bikas Bank Ltd.,xPDBBL,Development Bank
184,63605,Jyoti Bikash  Bank Ltd. Promoter Share,xJBBLPS,Promoter Share
185,63641,Prabhu Bikas Bank Limited,xPBBL,Development Bank
186,64053,Tinau Development Bank Ltd. Promoter,xTDBLP,Promoter Share
187,64636,National Life Insurance Co. Ltd. Promoter Share,xNLICLPS,Promoter Share
188,64676,Surya Life Insurance Co. Ltd. Promoter Share,xSLICLPS,Promoter Share
189,66077,Manaslu Bikas Bank Ltd.,xMBBL,Development Bank
190,67707,Nepal Life Insurance Co. Ltd. Promoter,xNLICLP,Promoter Share
191,68034,Prabhu Insurance Company Ltd. Promoter,xPICLP,Promoter Share
192,71044,Everest Bank Ltd.Promoter,xEBL,Promoter Share
193,71506,Sewa Bikas Bank Ltd. Promoter,xSBBLP,Promoter Share
194,72064,Mission Development Bank Ltd.,xMDBL,Development Bank
195,72381,Asian Life Insurance Co. Ltd Promoter Share,xALICLPS,Promoter Share
196,73034,Nepal Community Development Bank Ltd.,xNCDBL,Development Bank
197,73103,Cosmos Development Bank Ltd.,xCDBL,Development Bank
198,73247,Matribhumi Development Bank Ltd.,xMDBL,Development Bank
199,76489,NagBeli LaghuBitta Bikas Bank Ltd.,xNLBBL,Development Bank
200,77860,Unique Finance Ltd. Promoter Share,xUFLPS,Promoter Share
201,78769,Prudential Finance Co. Ltd. Promoter,xPFCLP,Promoter Share
202,80176,Shikhar Insurance Co. Ltd. Promoter,xSICLP,Promoter Share
