,company.code,company.name,company.cat
302,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,Microfinance
303,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
304,NBF3,Nabil Balanced Fund-3,Mutual Fund
305,NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
306,NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,Microfinance
307,GVL,Green Ventures Limited,Hydro Power
308,NBLD87,8.5% Nepal Bank Debenture 2087,Corporate Debenture
309,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance
310,BHL,Balephi Hydropower Limited,Hydro Power
311,NIL,Neco Insurance Limited,Non Life Insurance
312,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance
313,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
314,PROFL,Progressive Finance Limited,Finance
315,RFPL,River Falls Power Limited,Hydro Power
316,JFL,Janaki Finance Company Limited,Finance
317,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance
318,CZBIL,Citizens Bank International Limited,Commercial Banks
319,DORDI,Dordi Khola Jal Bidyut Company Limited,Hydro Power
320,CBLD88,Civil Bank Debenture 2088,Corporate Debenture
321,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,Microfinance
322,CCBD88,Century Debenture 2088,Corporate Debenture
323,KDBY,Kumari Dhanabriddhi Yojana,Mutual Fund
324,BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power
325,HHL,Himalayan Hydropower Limited,Hydro Power
326,HEI,Himalayan Everest Insurance Limited,Non Life Insurance
327,UHEWA,Upper Hewakhola Hydropower Company Limited,Hydro Power
328,RIDI,Ridi Power Company Limited,Hydro Power
329,MHL,Mandakini Hydropower Limited,Hydro Power
330,SGHC,Swet-Ganga Hydropower & Construction Limited,Hydro Power
331,USHEC,Upper Solu Hydro Electric Company Limited,Hydro Power
332,PBD88,10% Prime Debenture 2088,Corporate Debenture
333,RHGCL,Rapti Hydro And General Construction Limited,Hydro Power
334,MMFDB,Mirmire Laghubitta Bittya Sanstha Limited,Microfinance
335,NICFC,NIC Asia Flexi CAP Fund,Mutual Fund
336,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microfinance
337,PPL,People's Power Limited,Hydro Power
338,SPHL,Sayapatri Hydropower Limited,Hydro Power
339,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance
