,company.name,company.code
329254,Mero Microfinance Bittiya Sanstha Ltd. Promoter Share,
347934,NIC ASIA Laghubitta Bittiya Sanstha Limited Promoter Share,
360456,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd Promoter,
365648,Chhimek Laghubitta Bittiya Sanstha Limited Promoter,
368806,Support Microfinance Bittiya Sanstha Ltd. Promoter Share,
369876,Nerude Laghubitta Bittiya Sanstha Limited Promoter,
370378,Premier Insurance Company (Nepal) Limited Promoter Share,
372542,Forward Microfinance Laghubitta Bittiya Sanstha Limited Promoter,
379015,Samata Gharelu Laghubitta Bittiya Sanstha Limited Promoter,
381178,Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share,
381370,Asha Laghubitta Bittiya Sanstha Ltd Promoter Share,
384503,Garima Debenture 2085,
384785,National Microfinance Laghubitta Bittiya Sanstha Limited Promoter,
389684,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter,
390423,Hydorelectricity Investment and Development Company Limited Promoter,
391088,Himalayan Everest Insurance Limited Promoter,
393793,Infinity Laghubitta Bittiya Sanstha Limited Promoter Share,
394059,Mirmire Laghubitta Bittya Sanstha Limited Promoter,
399187,Sabaiko Laghubitta Bittiya Sanstha Limited,SABSL
399270,Global IME Balanced Fund-1,GIBF1
399273,Everest Bank Limited,EBL
399317,"Garima Debenture""",GBBD85
400975,Sikles Hydropower Limited,SIKLES
401201,Khaptad Laghubitta Bittiya Sanstha Limited,KLBS
402292,10.25% Nepal SBI Bank Debenture 2083,SBID83
402823,8.5% Prabhu Bank Debenture 2087,PBLD87
402882,NMB Debenture 8.50% - 2087/88,NMBD87/88
403200,Narayani Development Bank Limited Promoter,NABBCP
404108,Global IME Bank Limited,GBIME
405033,Peoples Hydropower Company Limited,PHCL
405059,Eastern Hydropower Limited,EHPL
406030,Shrijanshil Laghubitta Bittiya Sanstha Limited,SHLB
406140,Adhikhola Laghubitta Bittiya Sanstha Limited,AKBSL
408560,Barahi Hydropower Public Limited,BHPL
410802,Sanima GIC Insurance Limited,SGIC
411421,SuryaJyoti Life Insurance Company Limited,SJLIC
414350,Sabaiko Laghubitta Bittiya Sanstha Limited Promoter,SABSLP
415180,Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share,ACLBSLP
416051,Nepal Investment Mega Bank Limited,NIMB
416902,Unique Nepal Laghubitta Bittiya Sanstha Limited,UNLB
417452,SuryaJyoti Life Insurance Company Limited Promoter,SJLICP
417578,Super Madi Hydropower Limited,SMHL
417814,Shuvam Power Limited,SPL
419080,NIFRA Uraj Rinpatra7%-2085/86,NIFRAUR85/86
419292,Sanima Growth Fund,SAGF
419894,Nepal Investment Mega Bank Ltd. Promoter Share,NIMBPO
420305,Maya Khola Hydropower Company Limited,MKHC
420464,Asian Hydropower Limited,AHL
420465,Kalinchowk Darshan Limited,KDL
420914,Super Mai Hydropower Limited,SMH
422394,NMB Sulav Investment Fund - 2,NSIF2
422445,Siddhartha Premier Insurance Limited,SPIL
422486,Siddhartha Premier Insurance Limited Promoter Share,SPILPO
423726,Sanima Middle Tamor Hydropower Limited,TAMOR
424515,Sagarmatha Jalabidhyut Company Limited,SMJC
424525,Molung Hydropower Company Limited,MHCL
425836,Sunrise Focused Equity Fund,SFEF
427191,NIBL Growth Fund,NIBLGF
427737,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB
428277,BPW Laghubitta Bittiya Sanstha Limited,BPW
428541,Makar Jitumaya Suri Hydropower Limited,MAKAR
428938,Swabhimaan Laghubitta Bittiya Sanstha LTD Promoter share,SMFBSP
429917,Sagarmatha Lumbini Insurance Co. Limited,SALICO
430402,Mai Khola Hydropower Limited,MKHL
431125,Sanima Reliance Life Insurance Limited,SRLI
433108,IGI Prudential insurance Limited,IGI
434443,Dolti Power Company Limited,DOLTI
434444,Bhugol Energy Development Company Limited,BEDC
434445,Prabhu Smart Fund,PRSF
434719,City Hotel Limited,CITY
436085,Menchhiyam Hydropower Limited,MCHL
436644,Ingwa Hydropower Limited,IHL
436975,Himalayan Life Insurance Limited,HLI
439420,Modi Energy Limited,MEL
439421,Rawa Energy Development Limited,RAWA
440155,10.25% Citizens Bank Debenture 2086,CIZBD86
441479,United Ajod Insurance Limited,UAIL
441623,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ
442274,Himalayan Laghubitta Bittiya Sanstha Limited,HLBSL
444052,RBB Mutual Fund 2,RMF2
445356,IME Life Insurance Company Limited,ILI
445386,Nepal Republic Media Limited,NRM
446709,Ghorahi Cement Industry Limited,GCIL
446722,Upper Syange Hydropower Limited,USHL
446723,Three Star Hydropower Limited,TSHL
